state,generated,premium_regime,evidence_basis,evidence_providers,purchase_band_x_our_stack,refi_band_x_our_stack,purchase_our_stack,purchase_our_stack_composition,purchase_our_settlement_line,purchase_FA_settlement,purchase_market_stack_low,purchase_market_low_source,purchase_market_stack_high,purchase_claimed_savings,purchase_verdict,refi_our_stack,refi_our_settlement_line,refi_FA_settlement,refi_market_stack_low,refi_market_low_source,refi_market_stack_high,refi_claimed_savings,refi_verdict,comparison_assumptions,notes
ID,2026-07-25,filed,published [symmetric-boundary audited],9,0.77-0.89,0.77-0.89,975,Settlement Fee 450 + Notary Fee 150 + Abstractor Title Search 375 = 975,450,700,751,REAL: First American (API) $700 buyer-side (DOI-filed schedules held pending split resolution),868,0,above ALL known providers,500,350,900,385,purchase band applied to refi stack — see purchase source,445,0,above ALL known providers,"Market low held at FA API $700 buyer-side. Nine DOI-filed escrow schedules run $1,650–1,750 but appear to be WHOLE-TRANSACTION fees split by custom (split unpublished) — band deliberately NOT raised pending resolution (~2x upside if confirmed).",HOLD: DOI-filed fees suggest ~2x upside pending buyer/seller split resolution
IL,2026-07-25,filed,published [symmetric-boundary audited],8,2.93-3.15 (Chicago metro; downstate 0.85-1.4),0.57-0.91 (override),750,Settlement Fee 550 + Closing Protection Letter 25 + Closing Protection Letter 25 + Notary Fee 150 = 750,550,2200,2198,"REAL: Greater Illinois Title $1,925 = closing 1,880 + email pkg 45 (Chicago metro; downstate low = TitleStar ~$635)",2362,1448,CHEAPEST — below all known providers,575,350,325,328,REAL: First American (API) refi $325,523,0,above ALL known providers (single known provider),"Chicago-metro band; search EXCLUDED both sides (itemized search fees stripped). Market low = Greater Illinois Title $1,925 = closing 1,880 + email pkg 45 (2021 sheet); CPL not listed → assumed included. Downstate ZIPs use a separate near-parity band (TitleStar downstate $600 closing).",FA fee scales with deal size
IN,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,,Settlement Fee 550 + Closing Protection Letter 25 + Closing Protection Letter 25 + Notary Fee 150 + Abstractor Title Search 150 = 900,,,,n/a,,,unknown (engine errors),,,,,n/a,,,unknown,Our engine cannot quote this state (persistent upstream errors) — no comparison possible.,engine cannot quote (upstream 500s)
KS,2026-07-25,filed,published [symmetric-boundary audited],13,0.61-0.93,0.61-0.93,700,Settlement Fee 550 + Notary Fee 150 = 700,550,225,427,SYNTHETIC P25 of 13; nearest real: Secured Title of KC $450 = closing 375 + coordination 75,651,0,above ALL known providers,500,350,400,305,purchase band applied to refi stack — see purchase source,465,0,above ALL known providers,"Competitor exam/search charges EXCLUDED for symmetry (we bill no exam in KS). Market low = interpolated P25 of 13 filings; floor is FA API $225 — note FA's own state filing says $625 (2.8x internal discrepancy, both retained). Side-splits unstated on 3 filings → assumed per-side (conservative).",
KY,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,750,Settlement Fee 550 + Closing Protection Letter 50 + Notary Fee 150 = 750,550,,788,none — no in-state provider observed (pooled band),1050,38,no direct evidence (pooled inferred band),550,350,,578,purchase band applied to refi stack — see purchase source,770,28,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
LA,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,750,Settlement Fee 550 + Notary Fee 150 + Title Cert Opinion 50 = 750,550,,788,none — no in-state provider observed (pooled band),1050,38,no direct evidence (pooled inferred band),,,,,n/a,,,unknown,No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
MA,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,1000,Settlement Fee 550 + Notary Fee 150 + Abstractor Title Search 300 = 1000,550,,1050,none — no in-state provider observed (pooled band),1400,50,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
MD,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,825,Settlement Fee 520 + Closing Protection Letter 55 + Notary Fee 150 + Abstractor Title Search 100 = 825,520,,866,none — no in-state provider observed (pooled band),1155,41,no direct evidence (pooled inferred band),555,350,,583,purchase band applied to refi stack — see purchase source,777,28,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
ME,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,825,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 + Abstractor Title Search 100 = 825,550,,866,none — no in-state provider observed (pooled band),1155,41,no direct evidence (pooled inferred band),525,350,,551,purchase band applied to refi stack — see purchase source,735,26,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
MI,2026-07-25,filed,inferred-capped,1,0.85-1.4,0.39-0.62 (override),700,Settlement Fee 550 + Notary Fee 150 = 700,550,595,595,REAL (cap point): First American (API) $595,980,0,MID-RANGE of known providers (single known provider),500,350,195,195,REAL: First American (API) refi $195,310,0,above ALL known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $595; notary not listed → assumed included). Treat as estimate until 2+ providers.",
MN,2026-07-25,filed,inferred-capped,1,0.46-1.4,0.46-1.4,700,Settlement Fee 550 + Notary Fee 150 = 700,550,325,322,REAL (cap point): First American (API) $325,980,0,MID-RANGE of known providers (single known provider),500,350,325,230,purchase band applied to refi stack — see purchase source,700,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $325; notary not listed → assumed included). Treat as estimate until 2+ providers.",
MO,2026-07-25,filed,calculator [symmetric-boundary audited],2,0.54-0.75,0.48-0.75 (override),725,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 = 725,550,395,392,REAL: First American (API) $395 buyer-side,544,0,above ALL known providers,525,350,250,252,REAL: First American (API) refi $250,394,0,above ALL known providers (single known provider),"No search items either side. Market low = FA API $395 buyer-side (notary/CPL not listed → assumed included). Second point: Old Republic calculator $547 = buyer half of $1,094 (explicit split).",pricing review (multi-source)
MS,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,700,Settlement Fee 550 + Notary Fee 150 = 700,550,,735,none — no in-state provider observed (pooled band),980,35,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
MT,2026-07-25,filed,published [symmetric-boundary audited],2,1.14-1.43,1.14-1.43,700,Settlement Fee 550 + Notary Fee 150 = 700,550,,798,REAL: First Montana Title $800 explicit buyer side,1001,98,CHEAPEST — below all known providers,500,350,,570,purchase band applied to refi stack — see purchase source,715,70,CHEAPEST — below all known providers,"No search items either side. Market low = First Montana $800 explicit buyer side (of $1,600 total). MTE $1,000 is their discounted reissue product — standard resale may run higher (conservative in their favor).",
NC,2026-07-25,rating-bureau,inferred,0,1.05-1.4,1.05-1.4,,engine could not quote,,,,n/a,,,unknown (engine errors),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),Our engine cannot quote this state (persistent upstream errors) — no comparison possible.,engine cannot quote (upstream 500s)
ND,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,700,Settlement Fee 550 + Notary Fee 150 = 700,550,,735,none — no in-state provider observed (pooled band),980,35,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
NE,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,725,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 = 725,550,,761,none — no in-state provider observed (pooled band),1015,36,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
NH,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,725,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 = 725,550,,761,none — no in-state provider observed (pooled band),1015,36,no direct evidence (pooled inferred band),525,350,,551,purchase band applied to refi stack — see purchase source,735,26,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
NJ,2026-07-25,rating-bureau,inferred-capped,1,0.7-1.4,0.7-1.4,750,Settlement Fee 350 + Notary Fee 150 + Abstractor Title Search 250 = 750,350,525,525,REAL (cap point): First American (API) $525,1050,0,MID-RANGE of known providers (single known provider),500,350,525,350,purchase band applied to refi stack — see purchase source,700,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $525; notary not listed → assumed included). Treat as estimate until 2+ providers.",
NM,2026-07-25,promulgated,inferred-capped,1,0.44-1.4,0.44-1.4,1880,Settlement Fee 1700 + Notary Fee 150 + Abstractor Title Search 30 = 1880,1700,834,827,REAL (cap point): First American (API) $834,2632,0,MID-RANGE of known providers (single known provider),500,350,592,220,purchase band applied to refi stack — see purchase source,700,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $834; notary/CPL not listed → assumed included). Treat as estimate until 2+ providers.",FA fee scales with deal size; pricing review (multi-source)
NV,2026-07-25,filed,calculator [symmetric-boundary audited],2,0.48-0.51,0.48-0.51,1450,Settlement Fee 1300 + Notary Fee 150 = 1450,1300,695,696,REAL: First American (API) $695 buyer-side,740,0,above ALL known providers,500,350,,240,purchase band applied to refi stack — see purchase source,255,0,above ALL known providers,No search either side; e-recording excluded both sides. Market low = FA API $695 buyer-side (in-office notary included per FA escrow manual).,FA fee scales with deal size; pricing review (multi-source)
NY,2026-07-25,rating-bureau,published [symmetric-boundary audited],2,0.82-2.14,0.82-2.14,700,Settlement Fee 550 + Notary Fee 150 = 700,550,,574,REAL: Tier One Settlement $574 = settlement 500 + admin 50 + Encompass 24,1498,0,MID-RANGE of known providers,550,350,,451,purchase band applied to refi stack — see purchase source,1177,0,MID-RANGE of known providers,Search EXCLUDED both sides (NY market bills municipal/title search as pass-through; our Abstractor 350 + Cert Opinion 50 stripped for symmetry). Market low = Tier One $574 = settlement 500 + admin 50 + Encompass 24 (their recording service 60 excluded like ours; notary not listed → assumed included).,
OH,2026-07-25,rating-bureau,calculator [symmetric-boundary audited],3,0.6-1.26,0.5-0.8 (override),441,Settlement Fee 291 + Notary Fee 150 = 441,291,295,265,REAL: Landmark Title $265 = closing 200 + delivery 50 + CertifID 15,556,0,MID-RANGE of known providers,500,350,250,250,REAL: First American (API) refi $250,400,0,above ALL known providers (single known provider),Exam/CPL/commitment EXCLUDED both sides (CPL is OTIRB-set pass-through). Market low = Landmark Title $265 = closing 200 + delivery 50 + CertifID 15 (their exam 230/binder/CPL stripped; buyer in-office notary assumed included).,
OK,2026-07-25,filed,published [symmetric-boundary audited],3,0.24-0.94,0.24-0.94,1615,Settlement Fee 550 + Closing Protection Letter 25 + Notary Fee 150 + Exam Fee 300 + Title Cert Opinion 540 = 1565,550,395,388,REAL: First American (API) $395 buyer-side (their exam/search treated as included — conservative),1518,0,above ALL known providers,1415,350,325,340,purchase band applied to refi stack — see purchase source,1330,0,above ALL known providers,"ABSTRACT excluded both sides (county-set pass-through; our abstractor 725 stripped); exam/opinion INCLUDED both sides (we bill exam 300 + opinion 540). Market low = FA API $395 — their exam/final-search not visible in API scope, treated as included (materially conservative in an abstract state).",pricing review (multi-source)
OR,2026-07-25,filed,inferred-capped,1,0.8-1.4,0.79-1.26 (override),1500,Settlement Fee 1200 + Notary Fee 150 + Abstractor Title Search 150 = 1500,1200,1200,1200,"REAL (cap point): First American (API) $1,200",2100,0,MID-RANGE of known providers (single known provider),500,350,395,395,REAL: First American (API) refi $395,630,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $1,200; notary not listed → assumed included). Treat as estimate until 2+ providers.",FA fee scales with deal size
PA,2026-07-25,rating-bureau,inferred,0,1.05-1.4,1.05-1.4,950,Settlement Fee 550 + Notary Fee 150 + Short Form Policy 200 + Abstractor Title Search 50 = 950,550,,998,none — no in-state provider observed (pooled band),1330,48,no direct evidence (pooled inferred band),700,350,,735,purchase band applied to refi stack — see purchase source,980,35,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,FA $0 quirk excluded; 3 calculator providers pending fold-in
RI,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,885,Settlement Fee 550 + Closing Protection Letter 35 + Notary Fee 150 + Attorney Fee 50 + Abstractor Title Search 100 = 885,550,,929,none — no in-state provider observed (pooled band),1239,44,no direct evidence (pooled inferred band),585,350,,614,purchase band applied to refi stack — see purchase source,819,29,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
SC,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,1085,Settlement Fee 550 + Abstract Storage Fee 35 + Notary Fee 150 + Abstractor Title Search 350 = 1085,550,,1139,none — no in-state provider observed (pooled band),1519,54,no direct evidence (pooled inferred band),535,350,,562,purchase band applied to refi stack — see purchase source,749,27,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
SD,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,2436,Settlement Fee 550 + Countersign Lender 161 + Countersign Owner 707 + Notary Fee 150 + Attorney Fee 850 + Abstractor Title Search 18 = 2436,550,,2558,none — no in-state provider observed (pooled band),3410,122,no direct evidence (pooled inferred band),2218,350,,2329,purchase band applied to refi stack — see purchase source,3105,111,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,"our stack unusually high, no evidence"
TN,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,1050,Settlement Fee 550 + Notary Fee 150 + Abstractor Title Search 350 = 1050,550,,1102,none — no in-state provider observed (pooled band),1470,52,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
TX,2026-07-25,promulgated,published [symmetric-boundary audited],5,0.66-1.14,0.66-1.14,700,Settlement Fee 550 + Notary Fee 150 = 700,550,795,462,SYNTHETIC P25 of 5; nearest real: Texas National Title $450 escrow (per-side proxy from seller worksheet),798,0,MID-RANGE of known providers,500,350,,330,purchase band applied to refi stack — see purchase source,570,0,MID-RANGE of known providers,Search EXCLUDED both sides (market's search sits inside the identical promulgated premium; our 150 search line stripped). Market low = interpolated P25 of 5 per-side escrow fees (Texas National 450 is from a seller-side worksheet used as per-side proxy — flagged). Note: TX sellers customarily pay the owner's premium (promulgated); agent selection is negotiable.,pricing review (multi-source)
UT,2026-07-25,filed,calculator [symmetric-boundary audited],2,0.59-0.6,0.59-0.6,700,Settlement Fee 550 + Notary Fee 150 = 700,550,415,413,REAL: First American (API) $415 buyer-side,420,0,above ALL known providers,500,350,410,295,purchase band applied to refi stack — see purchase source,300,0,above ALL known providers,No search either side; e-recording excluded both sides. Market low = FA API $415 buyer-side (notary/CPL assumed included).,pricing review (multi-source)
VA,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,835,Settlement Fee 550 + Closing Protection Letter 35 + Notary Fee 150 + Abstractor Title Search 100 = 835,550,,877,none — no in-state provider observed (pooled band),1169,42,no direct evidence (pooled inferred band),535,350,,562,purchase band applied to refi stack — see purchase source,749,27,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
VT,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,1100,Settlement Fee 550 + Closing Protection Letter 50 + Notary Fee 150 + Attorney Fee 350 = 1100,550,,1155,none — no in-state provider observed (pooled band),1540,55,no direct evidence (pooled inferred band),900,350,,945,purchase band applied to refi stack — see purchase source,1260,45,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
WA,2026-07-25,filed,published [symmetric-boundary audited],6,1.42-2.17,1.42-2.17,600,Settlement Fee 450 + Notary Fee 150 = 600,450,1631,852,SYNTHETIC P25 of 6; nearest real: Spokane County Title $850 per side,1302,252,CHEAPEST — below all known providers,500,350,768,710,purchase band applied to refi stack — see purchase source,1085,210,CHEAPEST — below all known providers,"Search EXCLUDED both sides; WA sales tax (~9%) excluded both sides. Market low = interpolated P25 of 6 explicit PER-SIDE fees (Grays Harbor 750/side, Spokane 850/side...); notary assumed included except where schedules say out-of-office only.",FA fee scales with deal size
WI,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,700,Settlement Fee 550 + Notary Fee 150 = 700,550,,735,none — no in-state provider observed (pooled band),980,35,no direct evidence (pooled inferred band),500,350,,525,purchase band applied to refi stack — see purchase source,700,25,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
WV,2026-07-25,filed,inferred,0,1.05-1.4,1.05-1.4,915,Settlement Fee 550 + Closing Protection Letter 50 + Title Cert Fee 65 + Notary Fee 150 + Abstractor Title Search 100 = 915,550,,961,none — no in-state provider observed (pooled band),1281,46,no direct evidence (pooled inferred band),615,350,,646,purchase band applied to refi stack — see purchase source,861,31,no direct evidence (pooled inferred band),No in-state evidence: pooled inferred band (median of audited states' ratios). Composition below is what WE charge; no provider stack observed in this state.,
WY,2026-07-25,filed,inferred-capped,1,0.27-1.4,0.27-1.4,830,Settlement Fee 580 + Notary Fee 150 + Title Cert Opinion 100 = 830,580,225,224,REAL (cap point): First American (API) $225,1162,0,MID-RANGE of known providers (single known provider),600,350,225,162,purchase band applied to refi stack — see purchase source,840,0,MID-RANGE of known providers (single known provider),"No full in-state evidence: band = pooled median of audited states, LOW capped at the single known point (FA API $225; notary not listed → assumed included). Treat as estimate until 2+ providers.",
